District,Name,Enrollment,FreeLunch,ReducedLunch,FreeorReduced,FreeorReducedPrice,FreeOrReducedPercent
5310,Postville,656,654,0,654,99.7,99.7
5184,Perry,1746,1104,222,1326,75.95,75.9
6219,Storm Lake,2306,1453,253,1706,73.98,74
6516,Twin Rivers,50,30,7,37,74,74
1368,Columbus,739,487,59,546,73.88,73.9
1737,Des Moines Independent,31356,19796,3163,22959,73.22,73.2
1701,Denison,2126,1273,255,1528,71.87,71.9
4104,Marshalltown,4852,2932,456,3388,69.83,69.8
6795,Waterloo,10662,6498,914,7412,69.52,69.5
5328,Prescott,38,22,4,26,68.42,68.4
4905,Olin Consolidated,83,52,4,56,67.47,67.5
3897,LuVerne,73,39,10,49,67.12,67.1
6039,Sioux City,13862,7804,1378,9182,66.24,66.2
3537,Laurens-Marathon,270,163,13,176,65.19,65.2
1093,Central Decatur,698,339,109,448,64.18,64.2
2313,Fort Dodge,3680,1951,406,2357,64.05,64
7002,Whiting,193,92,30,122,63.21,63.2
916,CAL,220,117,21,138,62.73,62.7
3312,Keokuk,1844,953,185,1138,61.71,61.7
1944,Eagle Grove,823,421,85,506,61.48,61.5